city,state_abbrev,month,month_num,avg_max_temp_c,avg_min_temp_c,avg_rainfall_mm,running_temp_category,source_period,source_url
Hobart,TAS,March,3,20.3,11.4,39,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,April,4,17.8,9.4,43,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,May,5,15.1,7.6,36,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,June,6,12.4,5.3,43,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,July,7,12.3,4.9,47,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,August,8,13.7,5.7,61,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,September,9,15.4,6.9,59,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,October,10,17.3,8.3,56,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,November,11,18.9,9.9,48,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Hobart,TAS,December,12,20.4,11.3,56,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,January,1,26.3,13.6,40,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,February,2,26.5,14.1,37,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,March,3,24.1,12.7,39,Warm,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,April,4,20.4,10.1,38,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,May,5,16.6,8.4,36,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,June,6,13.7,6.3,39,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,July,7,13.0,5.5,39,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,August,8,14.5,6.0,43,Cool,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,September,9,16.6,7.1,44,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
Melbourne,VIC,October,10,19.3,8.5,51,Comfortable,1981-2010 for most cities; Perth 1994-2021 according to BOM data notes,https://www.bom.gov.au/climate/australia/cities/
