event_name,event_short_name,event_slug,event_location,state,state_abbrev,latitude,longitude,event_id
Burley Griffin parkrun,Burley Griffin,burleygriffin,Weston Park,Australian Capital Territory,ACT,-35.292148,149.088585,1490
Coombs parkrun,Coombs,coombs,Pearlman Street,Australian Capital Territory,ACT,-35.326215,149.047518,1818
Ginninderra parkrun,Ginninderra,ginninderra,John Knight Memorial Park,Australian Capital Territory,ACT,-35.234051,149.073486,364
Gungahlin parkrun,Gungahlin,gungahlin,Yerrabi Pond,Australian Capital Territory,ACT,-35.178952,149.129405,529
Jerrabomberra Mountain Reserve parkrun,Jerrabomberra Mountain Reserve,jerrabomberramountainreserve,Jerrabomberra Mountain Reserve,Australian Capital Territory,ACT,-35.376524,149.20315,3115
Mount Ainslie parkrun,Mount Ainslie,mountainslie,Remembrance Nature Park,Australian Capital Territory,ACT,-35.278828,149.152038,1952
Point Hut Pond parkrun,Point Hut Pond,pointhutpond,Point Hut Pond District Park,Australian Capital Territory,ACT,-35.454104,149.084343,3193
Queanbeyan parkrun,Queanbeyan,queanbeyan,Queanbeyan,Australian Capital Territory,ACT,-35.348151,149.238801,756
Tuggeranong parkrun,Tuggeranong,tuggeranong,Lake Tuggeranong,Australian Capital Territory,ACT,-35.410284,149.064989,501
Umbagong District parkrun,Umbagong District,umbagongdistrict,Umbagong District Park,Australian Capital Territory,ACT,-35.218922,149.020531,3087
Wagi Bridge parkrun,Wagi Bridge,wagibridge,Wagi Bridge,Australian Capital Territory,ACT,-35.161135,149.123403,2508
Woden Town parkrun,Woden Town,wodentown,Woden Town,Australian Capital Territory,ACT,-35.343931,149.088932,3765
Albury Wodonga parkrun,Albury Wodonga,alburywodonga,Hovell Tree Park,New South Wales,NSW,-36.0873,146.88886,648
Armidale parkrun,Armidale,armidale,SportUNE,New South Wales,NSW,-30.491998,151.639419,588
Auburn Botanic Gardens parkrun,Auburn Botanic Gardens,auburnbotanicgardens,Auburn Botanic Gardens,New South Wales,NSW,-33.859877,151.015305,3747
Australian Botanic Garden Mount Annan parkrun,Australian Botanic Garden Mount Annan,aubotanicgardenmountannan,Australian Botanic Garden Mount Annan,New South Wales,NSW,-34.066408,150.766217,3501
Australian Standing Stones parkrun,Australian Standing Stones,australianstandingstones,Australian Standing Stones,New South Wales,NSW,-29.741602,151.752481,3179
Avondale University College parkrun,Avondale University College,avondaleuniversitycollege,Avondale University College,New South Wales,NSW,-33.088354,151.463247,2827
Ballina Coast parkrun,Ballina Coast,ballinacoast,Ballina,New South Wales,NSW,-28.869637,153.576356,1674
Batemans Bay parkrun,Batemans Bay,batemansbay,Batemans Bay,New South Wales,NSW,-35.712112,150.185995,528
Bathurst parkrun,Bathurst,bathurst,Bicentennial Park,New South Wales,NSW,-33.414176,149.586917,606
Bega parkrun,Bega,bega,Bega Racecourse,New South Wales,NSW,-36.667479,149.843541,1318
Bill Rose Sports Complex parkrun,Bill Rose Sports Complex,billrosesportscomplex,Bill Rose Sports Complex,New South Wales,NSW,-32.054009,150.856114,1138
Blackbutt parkrun,Blackbutt,blackbutt,Richley Recreation Reserve,New South Wales,NSW,-32.932526,151.699755,610
Blue Gum Hills parkrun,Blue Gum Hills,bluegumhills,Blue Gum Hills Regional Park,New South Wales,NSW,-32.884131,151.620206,669
Bongil Bongil parkrun,Bongil Bongil,bongilbongil,Bongil Picnic Area,New South Wales,NSW,-30.372884,153.066759,3854
Bourke Racecourse parkrun,Bourke Racecourse,bourkeracecourse,Bourke Racecourse,New South Wales,NSW,-30.09756,145.92572,2160
Braidwood Showground parkrun,Braidwood Showground,braidwoodshowground,Braidwood Showground,New South Wales,NSW,-35.422759,149.791222,2105
Broken Hill Racecourse parkrun,Broken Hill Racecourse,brokenhillracecourse,Broken Hill Racecourse,New South Wales,NSW,-31.911528,141.483931,2438
Bungendore Common parkrun,Bungendore Common,bungendorecommon,Bungendore Common,New South Wales,NSW,-35.250379,149.446987,3471
"Cameron Park parkrun, Wellington","Cameron Park, Wellington",cameronparkwellington,"Cameron Park, Wellington",New South Wales,NSW,-32.552493,148.941498,3767
Campbelltown parkrun,Campbelltown,campbelltown,Hurricane Drive,New South Wales,NSW,-34.018301,150.814819,751
Casula Parklands parkrun,Casula Parklands,casulaparklands,Casula Parklands,New South Wales,NSW,-33.948703,150.91369,2707
Centennial parkrun,Centennial,centennial,Centennial Park,New South Wales,NSW,-33.898808,151.228564,2156
Chaffey Park parkrun,Chaffey Park,chaffeypark,Chaffey Park,New South Wales,NSW,-30.743124,150.73018,2897
Chipping Norton parkrun,Chipping Norton,chippingnorton,Black Muscat Park,New South Wales,NSW,-33.909244,150.964108,1158
Cobar parkrun,Cobar,cobar,Newey Reserve,New South Wales,NSW,-31.509832,145.831405,1971
Coffs Harbour parkrun,Coffs Harbour,coffsharbour,Park Beach Reserve,New South Wales,NSW,-30.295687,153.1376,745
Constellations of the South parkrun,Constellations of the South,constellationsofthesouth,Constellations of the South,New South Wales,NSW,-30.637282,151.507,3832
Cooks River parkrun,Cooks River,cooksriver,Saint Mary Mackillop Reserve,New South Wales,NSW,-33.913708,151.116857,736
"Cowpasture Reserve parkrun, Camden","Cowpasture Reserve, Camden",cowpasturereservecamden,Nepean River Cycleway,New South Wales,NSW,-34.053665,150.700727,2115
Cowra parkrun,Cowra,cowra,Cowra,New South Wales,NSW,-33.812714,148.703733,978
Cronulla parkrun,Cronulla,cronulla,Don Lucas Reserve,New South Wales,NSW,-34.040937,151.161836,968
Curl Curl parkrun,Curl Curl,curlcurl,John Fisher Park,New South Wales,NSW,-33.766483,151.282339,419
Dhunggaarr Reserve parkrun,Dhunggaarr Reserve,dhunggaarrreserve,Dhunggaarr Reserve,New South Wales,NSW,-31.885091,152.654475,3390
Dolls Point parkrun,Dolls Point,dollspoint,Peter Depena Reserve,New South Wales,NSW,-33.995775,151.144928,1687
Dubbo parkrun,Dubbo,dubbo,Dubbo,New South Wales,NSW,-32.256257,148.591034,1082
East Richmond parkrun,East Richmond,eastrichmond,Ham Common Bicentenary Park,New South Wales,NSW,-33.604814,150.774321,1763
Elara Riparian Parklands parkrun,Elara Riparian Parklands,elarariparianparklands,Elara Riparian Parklands,New South Wales,NSW,-33.693933,150.803885,3758
Fingal Bay parkrun,Fingal Bay,fingalbay,Fingal Bay,New South Wales,NSW,-32.742887,152.170644,488
Forster parkrun,Forster,forster,Forster,New South Wales,NSW,-32.180174,152.519554,1582
Galston parkrun,Galston,galston,Fagan Park,New South Wales,NSW,-33.642734,151.043648,1531
Gloucester District parkrun,Gloucester District,gloucesterdistrict,Gloucester District Park,New South Wales,NSW,-32.00456,151.953594,2617
Goulburn parkrun,Goulburn,goulburn,Marsden Weir Park,New South Wales,NSW,-34.736445,149.706096,1142
Grafton parkrun,Grafton,grafton,Barnier Park,New South Wales,NSW,-29.643847,152.920487,1343
"Grahamstown Aquatic Centre parkrun, Medowie","Grahamstown Aquatic Centre, Medowie",grahamstownaquaticcentremedowie,"Grahamstown Aquatic Centre, Medowie",New South Wales,NSW,-32.759748,151.822113,3599
GreenWay parkrun,GreenWay,greenway,Richard Murden Reserve,New South Wales,NSW,-33.882504,151.14457,1825
Henry Kendall Reserve parkrun,Henry Kendall Reserve,henrykendallreserve,Henry Kendall Reserve,New South Wales,NSW,-31.636004,152.794806,2828
Horseshoe Bay Reserve parkrun,Horseshoe Bay Reserve,horseshoebayreserve,Horseshoe Bay Reserve,New South Wales,NSW,-30.883931,153.042179,2148
Huskisson parkrun,Huskisson,huskisson,Huskisson White Sands Park,New South Wales,NSW,-35.049429,150.677109,1004
Inverell parkrun,Inverell,inverell,Campbell Park,New South Wales,NSW,-29.77388,151.10897,579
Jindabyne parkrun,Jindabyne,jindabyne,Banjo Paterson Park,New South Wales,NSW,-36.41565,148.625881,1990
"Jubilee parkrun, Tenterfield","Jubilee, Tenterfield",jubileetenterfield,"Jubilee, Tenterfield",New South Wales,NSW,-29.054042,152.01537,3454
Kamay parkrun,Kamay,kamay,Yarra Bay Beach,New South Wales,NSW,-33.97993,151.229992,1547
Karoola Park parkrun,Karoola Park,karoolapark,Karoola Park,New South Wales,NSW,-32.255338,150.895351,3025
Kingscliff parkrun,Kingscliff,kingscliff,"Bells Boulevard, SALT Village, Kingsclif",New South Wales,NSW,-28.277477,153.578901,427
Lake Mac parkrun,Lake Mac,lakemac,Lake Macquarie,New South Wales,NSW,-32.972596,151.612487,475
Lakeview parkrun,Lakeview,lakeview,The Shores Way,New South Wales,NSW,-33.030093,151.642302,729
Lawson parkrun,Lawson,lawson,North Lawson Park,New South Wales,NSW,-33.713629,150.426901,822
